University,Province,City,Tri-Council,Example Department,Faculty,Department,Program,Website,Contact Emails,,Emailed to Obtain,Emailed to Confirm,Domestic Tuition,Ancillary Fees,Total Domestic Fees,OOP Tuition,OOP Waiver,International Tuition,Int Ancillary Fees,Total Int Fees,Int Waiver,Guaranteed Funding,Years Guaranteed,Gross Stipend,Net Stipend,Gross Stipend International,Net Stipend Int,Gross Stipend OOP,Net Stipend OOP,Hours TAing,Hours RAing,Date of collection,Academic Year of Stipend,Tuition Get / 2,Tuition Parse / 2,Stipend Get / 3,Stipend Complete / 3,Notes,Tuition Data,Stipend Data,MBM Threshold 2020,MBM Threshold 2024,Rental Costs,Rental costs per year,Notes on Thresholds ,Net domestic - MBM Threshold (2024) ,Net domestic - Rent/year,Net domestic - Rent - $12K,Net International - MBM Threshold (2024) ,Net International - Rent/year,Net International - Rent - $1K,Total Expenses,Operating Grant,Endowment
Alberta,AB,Edmonton,NSERC,Biological Sciences - Ecology,Science,Biological Sciences,MSc,https://www.ualberta.ca/biological-sciences/graduate-studies/index.html,"Schelly Scott, Bio Grad Finances: biogradf@ualberta.ca",,FALSE,FALSE,4732.8,2697.09,7429.89,,,9406,2697.09,12103.09,,Yes,2.3,25197,17767.11,,13093.91,,,Half of students suppported by TAing,,2024-02-29,,1,2,3,0,Governed by collective agreement,https://www.ualberta.ca/graduate-studies/prospective-students/tuition-and-cost-of-living-estimate.html,https://www.ualberta.ca/biological-sciences/graduate-studies/for-applicants/program-funding.html,24862,29424,1367,16404,located in Edmonton,-11656.89,1363.11,-10636.89,-16330.09,-3310.09,-15310.09,1878,756,1728
Memorial,NL,St. John's,NSERC,Biological Sciences - Ecology,Science,Department of Biology,MSc,https://www.mun.ca/become/graduate/programs-and-courses/biology/,biogradsec@mun.ca,,FALSE,FALSE,2859,834,3693,3717,,4833,901,5734,,Yes,2,17500,13807,17500,11766,17500,12949,,,2024-06-05,2023/2024,1,1,1,1,,https://www.mun.ca/become/graduate/programs-and-courses/biology/,,21477,25417.88,955,11460,"St. Johns, NL ",-11610.88,2347,-9653,-13651.88,306,-11694,661,406,159
Laval,QC,Quebec City,NSERC,Physics,Science,"Département de physique, de génie physique et d'optique",MSc,https://www.fsg.ulaval.ca/departements/departement-de-physique-de-genie-physique-et-doptique,,phy@phy.ulaval.ca,TRUE,FALSE,2304.72,975.28,3280,7193.52,,15782.4,975.28,16757.68,,"No (officially, informally most offer the following)",2,16000,12720,,-758,,7831,,,2024-06-04,2024-2025,0,0,0,0,,,Email,20462,24216.63,1353,16236,,-11496.63,-3516,-15516,-24974.31,-16993.68,-28993.68,1125,512,34
Laval,QC,Quebec City,,Physics,,,PhD,,,,TRUE,FALSE,2304.72,975.28,3280,,,14166.72,975.28,15142,,"No (officially, informally most offer the following)",4,16000,12720,,858,,,,,2024-06-04,2024-2025,0,0,0,0,"•        Do you offer a guaranteed stipend for graduate students (both master’s and PhD)?  Officially NO but all professors (most) did.
•        If so, how many years is this stipend guaranteed for?  2 years for MSc, 4 years for PHD
•        What is the minimum value of this stipend (either gross or net of tuition)?   16K$ per year
•        Are students required to TA or RA on non-thesis-related work to attain this minimum level?  NO
•        If TAing or RAing is required, how many hours per year (or week) does this entail? NA
•        Does the department have any initiatives in place to mitigate higher tuition and healthcare costs for international students?  It is at a higher level, they offer reduce inscription cost.
",,,20462,24216.63,1353,16236,,-11496.63,-3516,-15516,-23358.63,-15378,-27378,1125,512,34
Manitoba,MB,Winnipeg,,Physics,,,PhD,None,,,FALSE,FALSE,6459.88,1701.37,8161.25,,,6459.88,3077.37,9537.25,,Yes,,24000,15839,24000,14463,,,0,,2024-03-28,2023/2024,0,0.5,1,1,,https://umanitoba.ca/registrar/tuition-fees/graduate,https://umanitoba.ca/science/student-experience/financial-aid-awards/physics-and-astronomy,22714,26881.86,1416,16992,,-11043.11,-1153.25,-13153.25,-12419.11,-2529.25,-14529.25,959,424,936
Guelph,ON,Guelph,NSERC,Biological Sciences - Ecology,Science,Department of Integrative Biology,MSc,https://www.uoguelph.ca/ib/grad_program_overview,,,FALSE,FALSE,4755.06,1484.24,6239.3,,,13675.08,2240.24,15915.32,,Yes,2,21460,15220.7,21460,5544.68,,,140,,2024-02-16,2022,2,1.5,2,2,International students pay additional health fee.,https://uoguelphca-my.sharepoint.com/:x:/g/personal/sfscomm_uoguelph_ca/Ec8jBdQ56m5Bih3a_8GAN9MBG2nJQnKyyqGOxTfoU_Gm4A?e=h1Htrn&activeCell=%272023%27!A1&action=embedview (Domestic) https://uoguelphca-my.sharepoint.com/:x:/g/personal/sfscomm_uoguelph_ca/ES-kzd15FPhDu-DFiIjzxVAB27VJh9m1yixTjaqq7dYQcg?e=fYm962&activeCell=%272023%27!A1&action=embedview (international),https://adr-cbs.uoguelph.ca/system/files/CBS%20%20Minimum%20Stipends%20MASTER%20FILE%20MSC%20August%2022%2C%202023.pdf,22170,26238.04,2053,24636,"Guelph Ont, 135,474 population",-11017.34,-9415.3,-21415.3,-20693.36,-19091.32,-31091.32,912,280,445
Alberta,AB,Edmonton,,Biological Sciences - Ecology,,,PhD,,,,FALSE,FALSE,4732.8,2697.09,7429.89,,,9406,2697.09,12103.09,,Yes,5,25917,18487.11,,13813.91,,,,,2024-02-29,,1,2,3,0,,,,24862,29424,1367,16404,,-10936.89,2083.11,-9916.89,-15610.09,-2590.09,-14590.09,1878,756,1728
Sherbrooke,QC,Sherbrooke,,Physics,,,PhD,,Academic Information,physique@USherbrooke.ca,TRUE,FALSE,4321.35,1329.39,5650.74,13487.85,,4320,1335,5655,Full,,,18000,12349,,12345,,,,,2024-06-04,2017?,0,1,0,0,,https://www.usherbrooke.ca/admission/couts-et-aide-financiere/frais-scolarite,https://www.usherbrooke.ca/physique/fileadmin/sites/physique/documents/Intranet/eFkt1T-English_information.pdf,19601,23197.65,,,,-10848.39,,,-10852.65,,,771,365,
UdeM,QC,Montreal,,Physics,,,PhD,https://phys.umontreal.ca/english/home/,,,FALSE,FALSE,4450.95,1902.27,6353.22,,,27359.55,1902.27,29261.82,,Yes,?,20100,13747,20100,-9162,,,,,2024-06-06,2024-2025,1,1.5,3,0,,https://esp.umontreal.ca/english/what-you-need-to-know/admission/tuition-fees/,https://phys.umontreal.ca/english/student-resources/financial-support/,20753,24561.03,1763,21156,,-10814.25,-7409.22,-19409.22,-33722.85,-30317.82,-42317.82,1277,662,442
Wilfrid Laurier,ON,Waterloo,,Biological Sciences - Ecology,,,PhD,https://wlu.ca/programs/science/graduate/biological-and-chemical-sciences-phd/index.html,"bcs@wlu.ca, ghorsman@wlu.ca, mwilkie@wlu.ca",,FALSE,FALSE,6788.76,1708.56,8497.32,,,21171.39,1708.56,22879.95,Legal dependants,Yes,4,24000,15503,,1120,,,Optional,,19-02-2024,,0,0.25,1,0,Website indicates that numbers might vary between programs but program page redirects to common weboage,https://www.wlu.ca/academics/faculties/graduate-and-postdoctoral-studies/tuition-and-funding/index.html?ref=graduate-and-postdoctoral-studies%2Ffunding-at-a-glance%2Findex.html,,22170,26238.04,2046,24552,,-10735.36,-9049.32,-21049.32,-25117.99,-23431.95,-35431.95,421,127,114
Simon Fraser University,BC,Burnaby,NSERC,Physics,Science,Physics,MSc,https://www.sfu.ca/physics/graduate.html,Department Chair: physchr@sfu.ca,Grad Program Assistant: physgrad@sfu.ca,FALSE,FALSE,6198.33,2005.44,8203.77,,,6198.33,2286.44,8484.77,,Yes,2,27000,18796.23,27000,18515,,,Up to 434,0,2024-02-28,2023-24,2,2,3,3,Scholarships are topped up,https://www.sfu.ca/students/calendar/2023/fall/fees-and-regulations/tuition-fees/graduate.html,https://www.sfu.ca/physics/graduate/prospective/financial-support.html,24482,28974.28,2545,30540,,-10178.05,-11743.77,-23743.77,-10459.05,-12024.77,-24024.77,873,296,486
Memorial,NL,St. John's,,Biological Sciences - Ecology,,,PhD,https://www.mun.ca/become/graduate/programs-and-courses/biology/,biogradsec@mun.ca,,FALSE,FALSE,2664,834,3498,3462,,4497,901,5398,,Yes,4,19000,15502,19000,13602,19000,14704,,,2024-06-05,2023/2024,1,1,1,1,,https://www.mun.ca/become/graduate/programs-and-courses/biology/,,21477,25417.88,955,11460,,-9915.88,4042,-7958,-11815.88,2142,-9858,661,406,159
Queen's,ON,Kingston,NSERC,Biological Sciences - Ecology,Science,Biology Department,MSc,https://biology.queensu.ca/,,,FALSE,FALSE,5772.99,1482.8,7255.79,,,12927.45,2238.8,15166.25,,Yes,2,24300,17044.21,,9133.75,,,,,,2022-2023,1,1.5,2,2,,https://www.queensu.ca/registrar/tuition-fees/graduate,https://biology.queensu.ca/default/assets/File/Biology%20Guide%20to%20Graduate%20Studies%20Jan%202024%20for%20old%20website.docx,22170,26238.04,1798,21576,"Kingston, Ont 136685 pop",-9193.83,-4531.79,-16531.79,-17104.29,-12442.25,-24442.25,1110,431,1448
Simon Fraser University,BC,Burnaby,NSERC,Biological Sciences - Ecology,Science,Biological Sciences,MSc,https://www.sfu.ca/biology/graduate.html,Department Chair: biscchr@sfu.ca,Grad Program Assistant: biscgrad@sfu.ca,FALSE,FALSE,6198.33,2005.44,8203.77,,,6198.33,2286.44,8484.77,,Yes,2,28000,19796.23,28000,19515.23,,,Up to 336,0,2024-02-28,2023-24,2,1.5,3,3,"Winning scholarships do not increase minimum stipend level, no international tuition",https://www.sfu.ca/gradstudies/apply/tuition-and-fees/tuition-types.html,https://www.sfu.ca/biology/graduate/current/financial/funding-policy.html,24482,28974.28,2545,30540,"Located in Burnaby, population 249,197. thus classified as a large population center",-9178.05,-10743.77,-22743.77,-9459.05,-11024.77,-23024.77,873,296,486
Simon Fraser University,BC,Burnaby,,Biological Sciences - Ecology,,,PhD,,,,FALSE,FALSE,6198.33,2005.44,8203.77,,,6198.33,2286.44,8484.77,,Yes,4,28000,19796.23,28000,19515.23,,,Up to 336,0,2024-02-28,2023-24,2,1.5,3,3,,,,24482,28974.28,2545,30540,* Inflation calculator is from Bank of Canada: https://www.bankofcanada.ca/rates/related/inflation-calculator/,-9178.05,-10743.77,-22743.77,-9459.05,-11024.77,-23024.77,873,296,486
Victoria,BC,Victoria,NSERC,Physics,Science,Department of Physics & Astronomy,MSc,https://www.uvic.ca/science/physics/,Pavel Kovtun,pkovtun@uvic.ca,FALSE,FALSE,6405,1372.48,7777.48,,,8076,1372.48,9448.48,,Yes,2*,24967,17190,24967,15519,,,100,,2024-03-28,2023/2024,0,0.5,1,2,"The guaranteed support levels will be in effect for 2 years for a student in an MSc program, up to 5 years beyond the BSc level for a student in a PhD transfer program, 3 years for a student in a PhD program, and 4 years for a PhD student who arrives at UVic with an MSc from another university. There is no Graduate Award beyond these time limits. Arrangements for RA contributions after the time limits are between the student and supervisor.",,,22255 OR 24482,26338.64 OR 28974.28,2168,26016,,-9149.12,-8826.48,-20826.48,-10820.12,-10497.48,-22497.48,691,216,523
Memorial,NL,St. John's,NSERC,Physics,Science,Physics and Physical Oceanography,MSc,https://www.mun.ca/physics/,Physics-GO@mun.ca,,FALSE,FALSE,2859,834,3693,3717,,4833,901,5734,,Yes,2,20466,16773,20866,15132,,15915,?,,2024-03-28,2023/2024,1,1,3,1,"AF: There's two sets of numbers on the website, one from 4 years ago. I grabbed the ones which are listed under the ""current"" student page, but the basic financial tab on the website is out of date.",https://www.mun.ca/finance/graduate-student-tuition-and-fees/,https://www.mun.ca/physics/graduate-students/graduate-scholarships-and-fellowships/,21477,25417.88,955,11460,,-8644.88,5313,-6687,-10285.88,3672,-8328,661,406,159
École Polytechnique de Montréal,QC,Montreal,NSERC,Biological Sciences - Ecology,Science,Genie Biomedical,MSc,https://www.polymtl.ca/biomed/,,biomedical-es@polymtl.ca,FALSE,FALSE,4100,,4100,11000,,23100,,23100,,Discretion of Supervisor,1.66,20500,16400,,-2600,,,,,2024-06-10,2024-2025,1,1,1,0,The numbers here are from the entire university and are based on some sort of discretion from the PI. ,https://www.polymtl.ca/futur/en/es/finances,https://share.polymtl.ca/alfresco/service/api/path/content;cm:content/workspace/SpacesStore/Company%20Home/Sites/avis-diffusion/documentLibrary/DRI/AvisDRI-003-MAFS-2023-2024.pdf?a=false&guest=true,20753,24561.03,1763,21156,Montreal,-8161.03,-4756,-16756,-27161.03,-23756,-35756,305,138,
École Polytechnique de Montréal,QC,Montreal,NSERC,Physics,Science,Genie Physique,MSc,https://www.polymtl.ca/phys/,,genie.physique@polymtl.ca,FALSE,FALSE,4100,,4100,11000,,23100,,23100,,Discretion of Supervisor,1.66,20500,16400,,-2600,,,,,2024-06-10,2024-2025,1,1,1,0,,https://www.polymtl.ca/futur/en/es/finances,https://share.polymtl.ca/alfresco/service/api/path/content;cm:content/workspace/SpacesStore/Company%20Home/Sites/avis-diffusion/documentLibrary/DRI/AvisDRI-003-MAFS-2023-2024.pdf?a=false&guest=true,20753,24561.03,1763,21156,,-8161.03,-4756,-16756,-27161.03,-23756,-35756,305,138,
UBC,BC,Vancouver,NSERC,Physics,Science,Department of Physics & Astronomy,MSc,https://phas.ubc.ca/,Dr. Alison Lister,gradadvr@phas.ubc.ca,FALSE,FALSE,5301,1202,6503,,,9313.92,1202,10515.92,3200,Yes,2,28278,21775,28278,20962,,,288,,2024-03-28,2023/2024,2,2,3,3,AF: I'm going to mail this website to our graduate supervisor as an example of a great solution to the confusion we frequently see. This is how it should be done.,https://phas.ubc.ca/graduate-program-financial-support,https://phas.ubc.ca/graduate-program-financial-support,25285,29924.62,2671,32052,,-8149.62,-10277,-22277,-8962.54,-11089.92,-23089.92,3281,1447,2800
Alberta,AB,Edmonton,NSERC,Physics,Science,Physics and Geophysics,MSc,https://www.ualberta.ca/physics/graduate-studies/index.html,,,FALSE,FALSE,4732.8,2697.09,7429.89,,,9406,2697.09,12103.09,,Yes,2,29010,21580,,16907,,,12hr/week,,2024-02-29,,1,2,3,1,,,https://www.ualberta.ca/physics/graduate-studies/awards-and-funding/financial-support-for-new-msc-students.html,24862,29424,1367,16404,,-7843.89,5176.11,-6823.89,-12517.09,502.91,-11497.09,1878,756,1728
Queen's,ON,Kingston,,Biological Sciences - Ecology,,,PhD,https://biology.queensu.ca/,,,FALSE,FALSE,5772.99,1482.8,7255.79,,,5772.99,2238.8,8011.79,,Yes,4,25800,18544.21,,17788.21,,,,,,2022-2023,1,1.5,2,2,,https://www.queensu.ca/registrar/tuition-fees/graduate,https://biology.queensu.ca/default/assets/File/Biology%20Guide%20to%20Graduate%20Studies%20Jan%202024%20for%20old%20website.docx,22170,26238.04,1798,21576,,-7693.83,-3031.79,-15031.79,-8449.83,-3787.79,-15787.79,1110,431,1448
Simon Fraser University,BC,Burnaby,,Physics,,,PhD,,,,FALSE,FALSE,6198.33,2005.44,8203.77,,,6198.33,2286.44,8484.77,,Yes,4,29500,21296.23,29500,21015,,,Up to 343,0,2024-02-28,2023-24,2,2,3,3,,,,24482,28974.28,2545,30540,,-7678.05,-9243.77,-21243.77,-7959.05,-9524.77,-21524.77,873,296,486
Western,ON,London,NSERC,Biological Sciences - Ecology,Science,Department of Biology ,MSc,uwo.ca/biology ,biogradrequests@uwo.ca,Sarah Abbas,FALSE,FALSE,6360,991.55,7351.55,,,19751.28,991.55,20742.83,,Yes,2,26091.46,18740,37921.46,17179,,,280,,2024-06-05,23-Apr,1,1.5,1,3,One of the clearest pages for funding I've come across - this has improved drastically since I was a grad student at Western! Western also has an Affordability Calculator: https://grad.uwo.ca/finances/affordability_calculator.cfm ,,https://uwo.ca/biology/graduate/future-students/financial-support.html,22170,26238.04,1782,21384,London Ont 404699,-7498.13,-2644.09,-14644.09,-9059.41,-4205.37,-16205.37,1323,268,1142
Western,ON,London,,Biological Sciences - Ecology,,,PhD,uwo.ca/biology ,biogradrequests@uwo.ca,Sarah Abbas,FALSE,FALSE,6360,991.55,7351.55,,,6360,991.55,7351.55,,Yes,4,26091.46,18740,26091.46,18740,,,280,,2024-06-05,23-Apr,1,1.5,1,3,,,https://uwo.ca/biology/graduate/future-students/financial-support.html,22170,26238.04,1782,21384,,-7498.13,-2644.09,-14644.09,-7498.13,-2644.09,-14644.09,1323,268,1142
Victoria,BC,Victoria,,Physics,,,PhD,,,,FALSE,FALSE,6405,1372.48,7777.48,,,8076,1372.48,9448.48,,Yes,4*,26867,19090,26867,17419,,,100,,2024-03-28,2023/2024,0,0.5,1,2,"It's a really good break down, but takes a while to find it! I had to find the grad handbook, which then took me back to the dept website. Might be because i was on a tablet, but still!",,,22255 OR 24482,26338.64 OR 28974.28,2168,26016,,-7249.12,-6926.48,-18926.48,-8920.12,-8597.48,-20597.48,691,216,523
Guelph,ON,Guelph,,Biological Sciences - Ecology,,,PhD,https://www.uoguelph.ca/ib/grad_program_overview,,,FALSE,FALSE,4661.38,1484.24,6145.62,,,13120.54,2240.24,15360.78,,Yes,4,25460,19314.38,25460,10099.22,,,140,,2024-02-16,2022,2,1.5,2,2,International students pay additional health fee.,https://uoguelphca-my.sharepoint.com/:x:/g/personal/sfscomm_uoguelph_ca/Ec8jBdQ56m5Bih3a_8GAN9MBG2nJQnKyyqGOxTfoU_Gm4A?e=h1Htrn&activeCell=%272023%27!A1&action=embedview (Domestic) https://uoguelphca-my.sharepoint.com/:x:/g/personal/sfscomm_uoguelph_ca/ES-kzd15FPhDu-DFiIjzxVAB27VJh9m1yixTjaqq7dYQcg?e=fYm962&activeCell=%272023%27!A1&action=embedview (international),https://adr-cbs.uoguelph.ca/system/files/CBS%20%20Minimum%20Stipends%20MASTER%20FILE%20PhD%20August%2022%2C%202023.pdf,22170,26238.04,2053,24636,,-6923.66,-5321.62,-17321.62,-16138.82,-14536.78,-26536.78,912,280,445
Queen's,ON,Kingston,NSERC,Physics,Science,"Physics, Engineering Physics & Astronomy",MSc,https://www.queensu.ca/physics/,,,FALSE,FALSE,5772.99,1482.8,7255.79,,,12927.45,2238.8,15166.25,,Yes,2,26642,19386,,11476,,,,,,,1,1.5,3,2,,https://www.queensu.ca/registrar/tuition-fees/graduate,https://www.queensu.ca/physics/grad-studies/msc-degree-overview,22170,26238.04,1798,21576,,-6851.83,-2189.79,-14189.79,-14762.29,-10100.25,-22100.25,1110,431,1448
Memorial,NL,St. John's,,Physics,,,PhD,https://www.mun.ca/physics/,,,FALSE,FALSE,2664,834,3498,3462,,4497,901,5398,,Yes,4,22066,18568,22066,16668,,17770,?,,2024-03-28,2023/2024,1,1,3,1,"AF: One Graduate tuition was done incorrectly initially (by me, whoops), so i have updated as of 24-5-24. They have an odd way of presenting the graduate pay, which seems nice but is actually not. They provide a Program fee, great for an MSc, but their idea of a PhD is 3 years.",https://www.mun.ca/undergrad/money-matters/,https://www.mun.ca/physics/graduate-students/graduate-scholarships-and-fellowships/,21477,25417.88,955,11460,,-6849.88,7108,-4892,-8749.88,5208,-6792,661,406,159
UBC,BC,Vancouver,NSERC,Biological Sciences - Ecology,Science,"Potentially across several departments including Botany, Zoology, Forestry, Biodiversity Research Centre. Using grad programs in Zoology here. ",MSc,https://zoology.ubc.ca/graduate-program,mimi.yu@ubc.ca,"Mimi Yu, Graduate Program Manager",TRUE,FALSE,5515.71,1313.7,6829.41,,,9690.18,1313.7,11003.88,,Yes,"""as long as they make satisfactory progress in their program""",30000,23170.59,30000,28686.3,,,,,2024-04-29,2023/2024,,,3,,AW: Ancillary fees itemized but on separate pages depnding if they are approved by UBC Board of Governors or Student Societ https://vancouver.calendar.ubc.ca/fees/student-fees ,,TAing requirements depends on funding arrangement with supervisor,25285,29924.62,2671,32052,Vancouver,-6754.03,-8881.41,-20881.41,-1238.32,-3365.7,-15365.7,3281,1447,2800
UBC,BC,Vancouver,,Biological Sciences - Ecology,,,PhD,https://zoology.ubc.ca/graduate-program,mimi.yu@ubc.ca,"Mimi Yu, Graduate Program Manager",TRUE,FALSE,5515.71,1313.7,6829.41,,,9690.18,1313.7,11003.88,,Yes,"""as long as they make satisfactory progress in their program""",30000,23170.59,30000,28686.3,,,,,2024-04-29,2023/2024,,,3,,AW: Ancillary fees itemized but on separate pages depnding if they are approved by UBC Board of Governors or Student Societ https://vancouver.calendar.ubc.ca/fees/student-fees ,,TAing requirements depends on funding arrangement with supervisor,25285,29924.62,2671,32052,,-6754.03,-8881.41,-20881.41,-1238.32,-3365.7,-15365.7,3281,1447,2800
Alberta,AB,Edmonton,,Physics,,,PhD,,,,FALSE,FALSE,4732.8,2697.09,7429.89,,,9406,2697.09,12103.09,,Yes,05-Apr,30720,23290,,18617,,,12hr/week,,2024-02-29,,1,2,3,1,,,https://www.ualberta.ca/physics/graduate-studies/awards-and-funding/financial-support-for-new-phd-students.html,24862,29424,1367,16404,,-6133.89,6886.11,-5113.89,-10807.09,2212.91,-9787.09,1878,756,1728
Queen's,ON,Kingston,,Physics,,,PhD,https://www.queensu.ca/physics/,,,FALSE,FALSE,5772.99,1482.8,7255.79,,,5772.99,2238.8,8011.79,,Yes,4,27842,20586,,19830,,,,,,,1,1.5,3,2,,https://www.queensu.ca/registrar/tuition-fees/graduate,https://www.queensu.ca/physics/grad-studies/phd-degree-overview,22170,26238.04,1798,21576,,-5651.83,-989.79,-12989.79,-6407.83,-1745.79,-13745.79,1110,431,1448
Waterloo,ON,Waterloo,NSERC,Physics,Science,Department of Physics and Astronomy,MSc,https://uwaterloo.ca/physics-astronomy/,physicsgradoffice@uwaterloo.ca,"Sophie Gagnon, Graduate Studies Co-ordinator",FALSE,FALSE,6762,1753.89,8515.89,,,23088,2509.89,25597.89,,Yes,2,,21000,,21000,,,10 hours/week for 2 terms if holding a GTA,,2024-03-20,23-Apr,0,1,3,1,"Stipend estimated value is after fees and tuition. Tuition information not linked from program page. Individual terms are given in several sub-pages listing all programs, very difficult to scroll through to figure out what a graduate student would pay in a year. ""Effective fall 2023, any student who is not international (Canadian citizen, permanent resident, or protected person) or who does not qualify as an Ontario resident will be considered a Domestic Out of Province student. Note that this change will affect a subset of graduate programs and all undergraduate programs.""",https://uwaterloo.ca/finance/student-financial-services/tuition-fee-schedules,https://uwaterloo.ca/physics-astronomy/graduate-studies/msc-programs,22170,26238.04,2046,24552,,-5238.04,-3552,-15552,-5238.04,-3552,-15552,1226,437,492
Waterloo,ON,Waterloo,,Physics,,,PhD,https://uwaterloo.ca/physics-astronomy/,physicsgradoffice@uwaterloo.ca,"Sophie Gagnon, Graduate Studies Co-ordinator",FALSE,FALSE,6762,1753.89,8515.89,,,22188,2509.89,24697.89,,Yes,4,,21000,,21000,,,10 hours/week for 2 terms if holding a GTA,,2024-03-20,23-Apr,0,1,3,1,"Stipend estimated value is after fees and tuition. Tuition information not linked from program page. Individual terms are given in several sub-pages listing all programs, very difficult to scroll through to figure out what a graduate student would pay in a year. ""Effective fall 2023, any student who is not international (Canadian citizen, permanent resident, or protected person) or who does not qualify as an Ontario resident will be considered a Domestic Out of Province student. Note that this change will affect a subset of graduate programs and all undergraduate programs.""",https://uwaterloo.ca/finance/student-financial-services/tuition-fee-schedules,https://uwaterloo.ca/physics-astronomy/graduate-studies/phd-programs,22170,26238.04,2046,24552,,-5238.04,-3552,-15552,-5238.04,-3552,-15552,1226,437,492
École Polytechnique de Montréal,QC,Montreal,,Biological Sciences - Ecology,,,PhD,,,,FALSE,FALSE,4100,,4100,4100,,4100,,4100,,Discretion of Supervisor,3,24000,19900,,19900,,,,,2024-06-10,2024-2025,1,1,1,0,,https://www.polymtl.ca/futur/en/es/finances,https://share.polymtl.ca/alfresco/service/api/path/content;cm:content/workspace/SpacesStore/Company%20Home/Sites/avis-diffusion/documentLibrary/DRI/AvisDRI-003-MAFS-2023-2024.pdf?a=false&guest=true,20753,24561.03,1763,21156,,-4661.03,-1256,-13256,-4661.03,-1256,-13256,305,138,
École Polytechnique de Montréal,QC,Montreal,,Physics,,,PhD,,,,FALSE,FALSE,4100,,4100,4100,,4100,,4100,,Discretion of Supervisor,3,24000,19900,,19900,,,,,2024-06-10,2024-2025,1,1,1,0,,https://www.polymtl.ca/futur/en/es/finances,https://share.polymtl.ca/alfresco/service/api/path/content;cm:content/workspace/SpacesStore/Company%20Home/Sites/avis-diffusion/documentLibrary/DRI/AvisDRI-003-MAFS-2023-2024.pdf?a=false&guest=true,20753,24561.03,1763,21156,,-4661.03,-1256,-13256,-4661.03,-1256,-13256,305,138,
McGill,QC,Montreal,NSERC,Physics,Science,Department of Physics,MSc,https://www.physics.mcgill.ca/grads/finance.html,Grad program coordinator,graduate.physics@mcgill.ca,FALSE,FALSE,2880.9,2330.62,5211.52,4495.95,,19728,2840,22568,,Yes,,25500,20288,42347,19779,27115,20288,,,2024-05-03,2023-2024,2,2,3,2,"TA total: 5945 (AF edit: This was done incorrectly. The page says that 2880.90 is the tuition after department subsidies, so it must be higher than that. I have/am revising this so that it's correct. It only impacts the OOP MSc and International MSc PhD tuitions. They have equalized the tuitions so all students, regardless of origin, pay same amount)",,,20753,24561.03,1763,21156,,-4272.55,-867.52,-12867.52,-4781.93,-1376.9,-13376.9,1676,866,1822
McGill,QC,Montreal,,Physics,,,PhD,https://www.physics.mcgill.ca/grads/finance.html,grad program director (Nikolaos Provatas),nikolaos.provatas@mcgill.ca,FALSE,FALSE,2880.9,2330.62,5211.52,,,17708.4,2840,20548.4,,Yes,,25500,20288,40328,19779,25500,23169,,,2024-05-03,2023-2024,2,2,3,2,,,,20753,24561.03,1763,21156,,-4272.55,-867.52,-12867.52,-4781.93,-1376.9,-13376.9,1676,866,1822
Guelph,ON,Guelph,NSERC,Physics,Science,Physics,MSc,https://www.physics.uoguelph.ca/,epoisson@uoguelph.ca,Grad Program Coordinator,TRUE,FALSE,4755.06,1484.24,6239.3,,,13675.08,2240.24,15915.32,,Yes,2,28377,22138,37297,21382,,,140,,,,1,2,0,0,"Tried on 2024-2-16 to get information about the minimum stipend, but cannot find it on the website. ""For international students, the GRA amount is increased to cover the tuitional differential. """,https://uoguelphca-my.sharepoint.com/:x:/g/personal/sfscomm_uoguelph_ca/Ec8jBdQ56m5Bih3a_8GAN9MBG2nJQnKyyqGOxTfoU_Gm4A?e=h1Htrn&activeCell=%272023%27!A1&action=embedview (Domestic) https://uoguelphca-my.sharepoint.com/:x:/g/personal/sfscomm_uoguelph_ca/ES-kzd15FPhDu-DFiIjzxVAB27VJh9m1yixTjaqq7dYQcg?e=fYm962&activeCell=%272023%27!A1&action=embedview (international),,22170,26238.04,2053,24636,,-4100.42,-2498.38,-14498.38,-4856.42,-3254.38,-15254.38,912,280,445
McGill,QC,Montreal,NSERC,Biological Sciences - Ecology,Science,Department of Biology,MSc,https://www.mcgill.ca/biology/graduate-studies/current-graduate-students-0/graduate-funding-0,,,FALSE,FALSE,2967.3,2416.53,5383.83,9261.6,,20319.9,3013.53,23333.43,Full,yes,2,,20498,,20498,,,180/yr,,2024-06-06,2024-2025,1,2,3,3,"Tuition will be reimbursed: ""You will receive a subsidy to cover the cost of tuition and fees which you must pay to the University each term. This subsidy is paid by your supervisor and/or by awards that you receive. International students may additionally receive a Differential Fee Waiver (DFW) from GPS or an international student tuition relief award from the Department to offset your higher tuition cost.""",,https://www.mcgill.ca/biology/graduate-0/current-graduate-students-0/graduate-funding-0,20753,24561.03,1763,21156,Montreal Q,-4063.03,-658,-12658,-4063.03,-658,-12658,1676,866,1822
UBC,BC,Vancouver,,Physics,,,PhD,,,,FALSE,FALSE,5301,1202,6503,,,9313.92,1202,10515.92,3200,Yes,4,33878,27375,33878,26562,,,288,,2024-03-28,2023/2024,2,2,3,3,,,,25285,29924.62,2671,32052,,-2549.62,-4677,-16677,-3362.54,-5489.92,-17489.92,3281,1447,2800
